venue,n_citation
Nature,271589
science,105297
Information and Control,97492
Commun. ACM,86856
Machine Learning,84034
Technometrics,71293
"Science (New York, N.Y.)",70089
Physics Today,63836
Scholarpedia,53162
Encyclopedia of Parallel Computing,52998
Ssrn Electronic Journal,52216
CA: a cancer journal for clinicians,51617
Encyclopedia of Machine Learning,49717
Ca-a Cancer Journal for Clinicians,47718
Artif. Intell.,47562
Introduction to algorithms,46825
SIGGRAPH,46558
Proceedings of the National Academy of Sciences of the United States of America,43239
Physical Review Letters,42210
Annual Review of Psychology,37059